resource_id,lesson_route,source_file,source_page,section,title,classification,has_input,input_types,source_text_status,paraphrase_status,confidence,review_needed,notes
cbt-skills-p003,/learn/cbt-anxiety/introduction-to-cbt.html,7 CBT SKills.pdf,3,CBT Skills,"Fear, Anxiety, Stress, and Panic",informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p016,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,16,CBT Skills,Find the Thinking Traps,mixed,true,reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p017,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,17,CBT Skills,"Identifying Thinking Traps, Part 1",interactive,true,repeating-rows|reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p018,/learn/cbt-anxiety/thinking-traps.html,7 CBT SKills.pdf,18,CBT Skills,"Identifying Thinking Traps, Part 2",interactive,true,repeating-rows|reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p020,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,20,CBT Skills,The Farmer and His Horse,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p021,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,21,CBT Skills,How to Get Out of a Thinking Trap,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p022,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,22,CBT Skills,Challenge Negative Thinking,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p023,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,23,CBT Skills,Challenging Negative Thinking Practice,interactive,true,reflection|rating-scale,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p024,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,24,CBT Skills,Thought Record Part 1,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p025,/learn/cbt-anxiety/thought-records.html,7 CBT SKills.pdf,25,CBT Skills,Identifying Automatic Thoughts,interactive,true,reflection|text|textarea,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p027,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,27,CBT Skills,Thought Record Part 2: Challenging the Hot Thought,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p028,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,28,CBT Skills,Looking for Evidence,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p029,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,29,CBT Skills,Creating Balanced Alternatives,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p030,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,30,CBT Skills,Best Friend Technique and Re-Rating,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p031,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,31,CBT Skills,Thoughts About Thought Records,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p032,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,32,CBT Skills,Completed Thought Record Example 1,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p033,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,33,CBT Skills,Completed Thought Record Example 2,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p034,/learn/cbt-anxiety/thought-records-part-2.html,7 CBT SKills.pdf,34,CBT Skills,Blank Thought Record,mixed,true,text|multi-select|repeating-rows|rating-scale|table,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p036,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,36,CBT Skills,"Understanding Worry, Part 1",informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p037,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,37,CBT Skills,"Understanding Worry, Part 2",informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p038,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,38,CBT Skills,Worry Beliefs,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p039,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,39,CBT Skills,Worry and Problem Solving,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p040,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,40,CBT Skills,Postpone Your Worry,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p041,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,41,CBT Skills,Using the Worry Tree,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p042,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,42,CBT Skills,The Worry Tree,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p044,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,44,CBT Skills,Worry Diary,interactive,true,table,source-extraction-review-needed,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p045,/learn/cbt-anxiety/understanding-worry.html,7 CBT SKills.pdf,45,CBT Skills,Fear Ladder Starter,interactive,true,table,source-extraction-insufficient,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p047,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,47,CBT Skills,Avoidance Worksheet,interactive,true,reflection|repeating-rows,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p048,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,48,CBT Skills,What Are Safety Behaviours?,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p049,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,49,CBT Skills,Safety Behaviour Checklist,mixed,true,multi-select,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p050,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,50,CBT Skills,Situational Exposure,informational,false,,lesson-native-context,review-needed,high,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p051,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,51,CBT Skills,Examples of Fear Ladders,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p052,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,52,CBT Skills,Ideas for Challenging Different Fears,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p053,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,53,CBT Skills,Developing Exposure Hierarchies,mixed,true,reflection|text|planning|rating-scale|textarea,lesson-native-context,draft,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p054,/learn/cbt-anxiety/safety-behaviours-exposure.html,7 CBT SKills.pdf,54,CBT Skills,Exposure Hierarchy Worksheet,mixed,true,reflection|text|planning|rating-scale|textarea,lesson-native-context,draft,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p003,/learn/distress-tolerance/stop-crisis-survival.html,2 Distress Tolerance.pdf,3,Distress Tolerance,How Can I Make a Distress Crisis Worse?,informational,false,,source-extraction-insufficient,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p004,/learn/distress-tolerance/stop-crisis-survival.html,2 Distress Tolerance.pdf,4,Distress Tolerance,When to Use Crisis Survival Skills,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p005,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,5,Distress Tolerance,Turning the Mind,informational,false,,lesson-native-context,draft,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p006,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,6,Distress Tolerance,Willingness,informational,false,,lesson-native-context,draft,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p007,/learn/distress-tolerance/stop-crisis-survival.html,2 Distress Tolerance.pdf,7,Distress Tolerance,STOP Skill,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p008,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,8,Distress Tolerance,"Turning the Mind, Willingness, and Willfulness",interactive,true,reflection|table|planning|date|text|rating-scale,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p009,/learn/distress-tolerance/stop-crisis-survival.html,2 Distress Tolerance.pdf,9,Distress Tolerance,Using the STOP Skill,interactive,true,table,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p011,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,11,Distress Tolerance,Window of Tolerance,informational,false,,verified-extracted-text,draft,high,false,OCR was compared with the high-resolution visual and manually linearized into semantic arousal states.
distress-tolerance-p012,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,12,Distress Tolerance,Changing Your Body Chemistry with TIPP,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p013,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,13,Distress Tolerance,"Using Cold Water, Step by Step",informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p014,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,14,Distress Tolerance,"Paired Muscle Relaxation, Step by Step",informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p015,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,15,Distress Tolerance,Progressive Muscle Relaxation: Nose to Toes,informational,false,,verified-extracted-text,draft,high,false,Low-quality OCR was replaced after visual inspection with a semantic exercise sequence; handwritten numbering was excluded.
distress-tolerance-p016,/learn/distress-tolerance/tipp.html,2 Distress Tolerance.pdf,16,Distress Tolerance,Changing Body Chemistry with TIPP Skills,interactive,true,reflection|date|rating-scale,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p018,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,18,Distress Tolerance,Distracting with Wise Mind ACCEPTS,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p019,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,19,Distress Tolerance,Wise Mind ACCEPTS Overview,informational,false,,source-extraction-review-needed,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p020,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,20,Distress Tolerance,Self-Soothing,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p021,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,21,Distress Tolerance,Self-Soothing Practice,interactive,true,table,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p022,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,22,Distress Tolerance,Distracting with Wise Mind ACCEPTS,interactive,true,date,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p023,/learn/distress-tolerance/self-soothe.html,2 Distress Tolerance.pdf,23,Distress Tolerance,Creating a Self-Soothing Kit,interactive,true,textarea,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p025,/learn/distress-tolerance/improve.html,2 Distress Tolerance.pdf,25,Distress Tolerance,Improving the Moment,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p026,/learn/distress-tolerance/improve.html,2 Distress Tolerance.pdf,26,Distress Tolerance,One Thing in the Moment,informational,false,,source-extraction-review-needed,review-needed,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p027,/learn/distress-tolerance/improve.html,2 Distress Tolerance.pdf,27,Distress Tolerance,Peaceful Place Meditation,mixed,true,textarea|reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p028,/learn/distress-tolerance/improve.html,2 Distress Tolerance.pdf,28,Distress Tolerance,IMPROVE Practice,interactive,true,reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p030,/learn/distress-tolerance/pros-and-cons.html,2 Distress Tolerance.pdf,30,Distress Tolerance,Pros and Cons,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p031,/learn/distress-tolerance/pros-and-cons.html,2 Distress Tolerance.pdf,31,Distress Tolerance,Pros and Cons: How To,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p032,/learn/distress-tolerance/pros-and-cons.html,2 Distress Tolerance.pdf,32,Distress Tolerance,Pros and Cons of Acting on Crisis Urges,mixed,true,reflection|date,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p033,/learn/distress-tolerance/pros-and-cons.html,2 Distress Tolerance.pdf,33,Distress Tolerance,Pros and Cons Practice,interactive,true,table,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p035,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,35,Distress Tolerance,Dandelions,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p036,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,36,Distress Tolerance,Developing the Skill of Radical Acceptance,interactive,true,reflection|text,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p037,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,37,Distress Tolerance,Radical Acceptance,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p038,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,38,Distress Tolerance,Radical Acceptance: Factors That Interfere,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p039,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,39,Distress Tolerance,Radical Acceptance Quick Reference,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p040,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,40,Distress Tolerance,Practicing Radical Acceptance Step by Step,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p041,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,41,Distress Tolerance,Half-Smiling and Willing Hands,informational,false,,lesson-native-context,draft,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p043,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,43,Distress Tolerance,How to Solve a Problem,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p044,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,44,Distress Tolerance,Three Parts of Radical Acceptance,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p046,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,46,Distress Tolerance,Radical Acceptance Practice,mixed,true,text|repeating-rows|rating-scale|date,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p047,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,47,Distress Tolerance,"Practicing Half-Smiling and Willing Hands, Part 1",informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p048,/learn/distress-tolerance/radical-acceptance.html,2 Distress Tolerance.pdf,48,Distress Tolerance,"Practicing Half-Smiling and Willing Hands, Part 2",informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p003,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,3,Emotion Regulation,Basic Functions of Emotions,informational,false,,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p004,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,4,Emotion Regulation,Goals of Emotion Regulation,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p005,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,5,Emotion Regulation,What Emotions Do for You,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p006,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,6,Emotion Regulation,What Makes It Hard to Regulate Your Emotions,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p007,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,7,Emotion Regulation,Myths About Emotions,mixed,true,table,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p008,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,8,Emotion Regulation,Emotion Diary Example,mixed,true,planning|date,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p009,/learn/emotion-regulation/what-emotions-do.html,6 Emotional Regulation.pdf,9,Emotion Regulation,Emotion Diary,interactive,true,date|planning,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p011,/learn/emotion-regulation/observing-describing-emotions.html,6 Emotional Regulation.pdf,11,Emotion Regulation,Learning About Emotions,interactive,true,reflection,source-extraction-review-needed,review-needed,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p012,/learn/emotion-regulation/observing-describing-emotions.html,6 Emotional Regulation.pdf,12,Emotion Regulation,Model for Describing Emotions,informational,false,,source-extraction-review-needed,review-needed,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p014,/learn/emotion-regulation/observing-describing-emotions.html,6 Emotional Regulation.pdf,14,Emotion Regulation,Ways to Describe Emotions: Anger,informational,false,,lesson-native-context,review-needed,high,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
