source_id,lesson_qmd,resource_title,best_text_source,extraction_method,integrated_into_existing_section,ocr_used,structure_confidence,review_needed,notes
cbt-skills-p003,site/learn/cbt-anxiety/introduction-to-cbt.qmd,"Fear, Anxiety, Stress, and Panic",section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p022,site/learn/cbt-anxiety/thought-records.qmd,Challenge Negative Thinking,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p023,site/learn/cbt-anxiety/thought-records.qmd,Challenging Negative Thinking Practice,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p024,site/learn/cbt-anxiety/thought-records.qmd,Thought Record Part 1,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p025,site/learn/cbt-anxiety/thought-records.qmd,Identifying Automatic Thoughts,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p027,site/learn/cbt-anxiety/thought-records-part-2.qmd,Thought Record Part 2: Challenging the Hot Thought,php-high-res,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p028,site/learn/cbt-anxiety/thought-records-part-2.qmd,Looking for Evidence,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p029,site/learn/cbt-anxiety/thought-records-part-2.qmd,Creating Balanced Alternatives,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p030,site/learn/cbt-anxiety/thought-records-part-2.qmd,Best Friend Technique and Re-Rating,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p031,site/learn/cbt-anxiety/thought-records-part-2.qmd,Thoughts About Thought Records,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p032,site/learn/cbt-anxiety/thought-records-part-2.qmd,Completed Thought Record Example 1,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p033,site/learn/cbt-anxiety/thought-records-part-2.qmd,Completed Thought Record Example 2,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p034,site/learn/cbt-anxiety/thought-records-part-2.qmd,Blank Thought Record,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p036,site/learn/cbt-anxiety/understanding-worry.qmd,"Understanding Worry, Part 1",section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p037,site/learn/cbt-anxiety/understanding-worry.qmd,"Understanding Worry, Part 2",php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p038,site/learn/cbt-anxiety/understanding-worry.qmd,Worry Beliefs,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p039,site/learn/cbt-anxiety/understanding-worry.qmd,Worry and Problem Solving,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p040,site/learn/cbt-anxiety/understanding-worry.qmd,Postpone Your Worry,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p041,site/learn/cbt-anxiety/understanding-worry.qmd,Using the Worry Tree,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p042,site/learn/cbt-anxiety/understanding-worry.qmd,The Worry Tree,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p044,site/learn/cbt-anxiety/understanding-worry.qmd,Worry Diary,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p045,site/learn/cbt-anxiety/understanding-worry.qmd,Fear Ladder Starter,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p047,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Avoidance Worksheet,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p048,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,What Are Safety Behaviours?,php-high-res,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p049,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Safety Behaviour Checklist,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p050,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Situational Exposure,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p051,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Examples of Fear Ladders,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p052,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Ideas for Challenging Different Fears,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p053,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Developing Exposure Hierarchies,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p054,site/learn/cbt-anxiety/safety-behaviours-exposure.qmd,Exposure Hierarchy Worksheet,section-scan,windows_ocr,true,true,high,false,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p003,site/learn/distress-tolerance/stop-crisis-survival.qmd,How Can I Make a Distress Crisis Worse?,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p004,site/learn/distress-tolerance/stop-crisis-survival.qmd,When to Use Crisis Survival Skills,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p005,site/learn/distress-tolerance/radical-acceptance.qmd,Turning the Mind,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p006,site/learn/distress-tolerance/radical-acceptance.qmd,Willingness,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p007,site/learn/distress-tolerance/stop-crisis-survival.qmd,STOP Skill,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p008,site/learn/distress-tolerance/radical-acceptance.qmd,"Turning the Mind, Willingness, and Willfulness",searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p009,site/learn/distress-tolerance/stop-crisis-survival.qmd,Using the STOP Skill,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p011,site/learn/distress-tolerance/tipp.qmd,Window of Tolerance,php-high-res,manual_transcription,false,true,high,false,OCR was compared with the high-resolution visual and manually linearized into semantic arousal states.
distress-tolerance-p012,site/learn/distress-tolerance/tipp.qmd,Changing Your Body Chemistry with TIPP,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p013,site/learn/distress-tolerance/tipp.qmd,"Using Cold Water, Step by Step",searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p014,site/learn/distress-tolerance/tipp.qmd,"Paired Muscle Relaxation, Step by Step",searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p015,site/learn/distress-tolerance/tipp.qmd,Progressive Muscle Relaxation: Nose to Toes,section-scan,manual_transcription,false,true,high,false,Low-quality OCR was replaced after visual inspection with a semantic exercise sequence; handwritten numbering was excluded.
distress-tolerance-p016,site/learn/distress-tolerance/tipp.qmd,Changing Body Chemistry with TIPP Skills,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p018,site/learn/distress-tolerance/self-soothe.qmd,Distracting with Wise Mind ACCEPTS,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p019,site/learn/distress-tolerance/self-soothe.qmd,Wise Mind ACCEPTS Overview,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p020,site/learn/distress-tolerance/self-soothe.qmd,Self-Soothing,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p021,site/learn/distress-tolerance/self-soothe.qmd,Self-Soothing Practice,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p022,site/learn/distress-tolerance/self-soothe.qmd,Distracting with Wise Mind ACCEPTS,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p023,site/learn/distress-tolerance/self-soothe.qmd,Creating a Self-Soothing Kit,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p025,site/learn/distress-tolerance/improve.qmd,Improving the Moment,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p026,site/learn/distress-tolerance/improve.qmd,One Thing in the Moment,section-scan,windows_ocr,false,true,low,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p027,site/learn/distress-tolerance/improve.qmd,Peaceful Place Meditation,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p028,site/learn/distress-tolerance/improve.qmd,IMPROVE Practice,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p030,site/learn/distress-tolerance/pros-and-cons.qmd,Pros and Cons,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p031,site/learn/distress-tolerance/pros-and-cons.qmd,Pros and Cons: How To,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p032,site/learn/distress-tolerance/pros-and-cons.qmd,Pros and Cons of Acting on Crisis Urges,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p033,site/learn/distress-tolerance/pros-and-cons.qmd,Pros and Cons Practice,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p035,site/learn/distress-tolerance/radical-acceptance.qmd,Dandelions,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p036,site/learn/distress-tolerance/radical-acceptance.qmd,Developing the Skill of Radical Acceptance,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p037,site/learn/distress-tolerance/radical-acceptance.qmd,Radical Acceptance,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p038,site/learn/distress-tolerance/radical-acceptance.qmd,Radical Acceptance: Factors That Interfere,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p039,site/learn/distress-tolerance/radical-acceptance.qmd,Radical Acceptance Quick Reference,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p040,site/learn/distress-tolerance/radical-acceptance.qmd,Practicing Radical Acceptance Step by Step,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p041,site/learn/distress-tolerance/radical-acceptance.qmd,Half-Smiling and Willing Hands,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p043,site/learn/distress-tolerance/radical-acceptance.qmd,How to Solve a Problem,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p044,site/learn/distress-tolerance/radical-acceptance.qmd,Three Parts of Radical Acceptance,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p046,site/learn/distress-tolerance/radical-acceptance.qmd,Radical Acceptance Practice,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p047,site/learn/distress-tolerance/radical-acceptance.qmd,"Practicing Half-Smiling and Willing Hands, Part 1",searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p048,site/learn/distress-tolerance/radical-acceptance.qmd,"Practicing Half-Smiling and Willing Hands, Part 2",searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p003,site/learn/emotion-regulation/what-emotions-do.qmd,Basic Functions of Emotions,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p004,site/learn/emotion-regulation/what-emotions-do.qmd,Goals of Emotion Regulation,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p005,site/learn/emotion-regulation/what-emotions-do.qmd,What Emotions Do for You,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p006,site/learn/emotion-regulation/what-emotions-do.qmd,What Makes It Hard to Regulate Your Emotions,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p007,site/learn/emotion-regulation/what-emotions-do.qmd,Myths About Emotions,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p008,site/learn/emotion-regulation/what-emotions-do.qmd,Emotion Diary Example,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p009,site/learn/emotion-regulation/what-emotions-do.qmd,Emotion Diary,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p011,site/learn/emotion-regulation/observing-describing-emotions.qmd,Learning About Emotions,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p012,site/learn/emotion-regulation/observing-describing-emotions.qmd,Model for Describing Emotions,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p014,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Anger,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p015,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Disgust,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p016,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Envy,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p017,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Fear,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p018,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Happiness,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p019,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Jealousy,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p020,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Love,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p021,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Sadness,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p022,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Shame,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p023,site/learn/emotion-regulation/observing-describing-emotions.qmd,Ways to Describe Emotions: Guilt,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p024,site/learn/emotion-regulation/observing-describing-emotions.qmd,Understanding and Naming Your Emotions,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p025,site/learn/emotion-regulation/observing-describing-emotions.qmd,Observing and Describing Emotions,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p026,site/learn/emotion-regulation/observing-describing-emotions.qmd,The Tangled Ball of Emotions,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p027,site/learn/emotion-regulation/observing-describing-emotions.qmd,Where Do I Feel Emotions?,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p029,site/learn/emotion-regulation/check-the-facts.qmd,Fact or Opinion?,section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p030,site/learn/emotion-regulation/check-the-facts.qmd,"Fact, Opinion, Belief, and Prejudice",section-scan,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p031,site/learn/emotion-regulation/check-the-facts.qmd,Changing Emotional Responses,searchable-dbt-book,direct_pdf_text,true,false,high,false,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p032,site/learn/emotion-regulation/check-the-facts.qmd,Check the Facts,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p033,site/learn/emotion-regulation/check-the-facts.qmd,Examples of Emotions That Fit the Facts,searchable-dbt-book,direct_pdf_text,false,false,medium,true,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p034,site/learn/emotion-regulation/check-the-facts.qmd,Check the Facts Practice,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p036,site/learn/emotion-regulation/opposite-action.qmd,Choosing Problem Solving or Opposite Action,php-high-res,windows_ocr,false,true,medium,true,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
