resource_id,section,title,classification,source_page,status,interactive,field_count,prompt_count,similarity_flag,completeness_flag,source_uncertain,specialized_tool,notes
cbt-skills-p047,CBT Skills,Avoidance Worksheet,interactive,47,review-needed,true,6,6,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p048,CBT Skills,What Are Safety Behaviours?,informational,48,review-needed,false,0,15,false,true,false,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p049,CBT Skills,Safety Behaviour Checklist,mixed,49,review-needed,true,1,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p050,CBT Skills,Situational Exposure,informational,50,review-needed,false,0,15,false,true,false,exposure,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p051,CBT Skills,Examples of Fear Ladders,informational,51,review-needed,false,0,0,false,false,true,exposure,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p052,CBT Skills,Ideas for Challenging Different Fears,informational,52,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
cbt-skills-p053,CBT Skills,Developing Exposure Hierarchies,mixed,53,draft,true,15,15,false,false,false,exposure,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
cbt-skills-p054,CBT Skills,Exposure Hierarchy Worksheet,mixed,54,draft,true,15,15,false,false,false,exposure,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p003,Distress Tolerance,How Can I Make a Distress Crisis Worse?,informational,3,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p004,Distress Tolerance,When to Use Crisis Survival Skills,informational,4,review-needed,false,0,0,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p005,Distress Tolerance,Turning the Mind,informational,5,draft,false,0,2,false,false,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p006,Distress Tolerance,Willingness,informational,6,draft,false,0,2,false,false,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p007,Distress Tolerance,STOP Skill,informational,7,review-needed,false,0,2,true,false,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p008,Distress Tolerance,"Turning the Mind, Willingness, and Willfulness",interactive,8,review-needed,true,8,8,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p009,Distress Tolerance,Using the STOP Skill,interactive,9,review-needed,true,1,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p011,Distress Tolerance,Window of Tolerance,informational,11,draft,false,0,1,false,false,false,,OCR was compared with the high-resolution visual and manually linearized into semantic arousal states.
distress-tolerance-p012,Distress Tolerance,Changing Your Body Chemistry with TIPP,informational,12,review-needed,false,0,3,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p013,Distress Tolerance,"Using Cold Water, Step by Step",informational,13,review-needed,false,0,0,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p014,Distress Tolerance,"Paired Muscle Relaxation, Step by Step",informational,14,review-needed,false,0,0,false,true,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p015,Distress Tolerance,Progressive Muscle Relaxation: Nose to Toes,informational,15,draft,false,0,0,false,false,false,,Low-quality OCR was replaced after visual inspection with a semantic exercise sequence; handwritten numbering was excluded.
distress-tolerance-p016,Distress Tolerance,Changing Body Chemistry with TIPP Skills,interactive,16,review-needed,true,3,3,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p018,Distress Tolerance,Distracting with Wise Mind ACCEPTS,informational,18,review-needed,false,0,3,true,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p019,Distress Tolerance,Wise Mind ACCEPTS Overview,informational,19,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p020,Distress Tolerance,Self-Soothing,informational,20,review-needed,false,0,3,true,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p021,Distress Tolerance,Self-Soothing Practice,interactive,21,review-needed,true,1,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p022,Distress Tolerance,Distracting with Wise Mind ACCEPTS,interactive,22,review-needed,true,1,0,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p023,Distress Tolerance,Creating a Self-Soothing Kit,interactive,23,review-needed,true,1,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p025,Distress Tolerance,Improving the Moment,informational,25,review-needed,false,0,0,true,false,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p026,Distress Tolerance,One Thing in the Moment,informational,26,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p027,Distress Tolerance,Peaceful Place Meditation,mixed,27,review-needed,true,3,3,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p028,Distress Tolerance,IMPROVE Practice,interactive,28,review-needed,true,2,2,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p030,Distress Tolerance,Pros and Cons,informational,30,review-needed,false,0,2,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p031,Distress Tolerance,Pros and Cons: How To,informational,31,review-needed,false,0,3,true,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p032,Distress Tolerance,Pros and Cons of Acting on Crisis Urges,mixed,32,review-needed,true,2,2,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p033,Distress Tolerance,Pros and Cons Practice,interactive,33,review-needed,true,1,0,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p035,Distress Tolerance,Dandelions,informational,35,review-needed,false,0,1,false,true,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p036,Distress Tolerance,Developing the Skill of Radical Acceptance,interactive,36,review-needed,true,7,7,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p037,Distress Tolerance,Radical Acceptance,informational,37,review-needed,false,0,3,false,true,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p038,Distress Tolerance,Radical Acceptance: Factors That Interfere,informational,38,review-needed,false,0,0,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p039,Distress Tolerance,Radical Acceptance Quick Reference,informational,39,review-needed,false,0,1,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p040,Distress Tolerance,Practicing Radical Acceptance Step by Step,informational,40,review-needed,false,0,0,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p041,Distress Tolerance,Half-Smiling and Willing Hands,informational,41,draft,false,0,2,false,false,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
distress-tolerance-p043,Distress Tolerance,How to Solve a Problem,informational,43,review-needed,false,0,2,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p044,Distress Tolerance,Three Parts of Radical Acceptance,informational,44,review-needed,false,0,1,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
distress-tolerance-p046,Distress Tolerance,Radical Acceptance Practice,mixed,46,review-needed,true,5,5,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p047,Distress Tolerance,"Practicing Half-Smiling and Willing Hands, Part 1",informational,47,review-needed,false,0,0,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
distress-tolerance-p048,Distress Tolerance,"Practicing Half-Smiling and Willing Hands, Part 2",informational,48,review-needed,false,0,0,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p003,Emotion Regulation,Basic Functions of Emotions,informational,3,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p004,Emotion Regulation,Goals of Emotion Regulation,informational,4,review-needed,false,0,0,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p005,Emotion Regulation,What Emotions Do for You,informational,5,review-needed,false,0,2,true,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p006,Emotion Regulation,What Makes It Hard to Regulate Your Emotions,informational,6,review-needed,false,0,0,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p007,Emotion Regulation,Myths About Emotions,mixed,7,review-needed,true,1,0,false,false,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p008,Emotion Regulation,Emotion Diary Example,mixed,8,review-needed,true,2,2,false,false,true,emotion-explorer,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p009,Emotion Regulation,Emotion Diary,interactive,9,review-needed,true,2,2,false,false,true,emotion-explorer,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p011,Emotion Regulation,Learning About Emotions,interactive,11,review-needed,true,4,4,true,false,true,emotion-explorer,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p012,Emotion Regulation,Model for Describing Emotions,informational,12,review-needed,false,0,0,false,false,true,emotion-explorer,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p014,Emotion Regulation,Ways to Describe Emotions: Anger,informational,14,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p015,Emotion Regulation,Ways to Describe Emotions: Disgust,informational,15,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p016,Emotion Regulation,Ways to Describe Emotions: Envy,informational,16,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p017,Emotion Regulation,Ways to Describe Emotions: Fear,informational,17,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p018,Emotion Regulation,Ways to Describe Emotions: Happiness,informational,18,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p019,Emotion Regulation,Ways to Describe Emotions: Jealousy,informational,19,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p020,Emotion Regulation,Ways to Describe Emotions: Love,informational,20,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p021,Emotion Regulation,Ways to Describe Emotions: Sadness,informational,21,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p022,Emotion Regulation,Ways to Describe Emotions: Shame,informational,22,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p023,Emotion Regulation,Ways to Describe Emotions: Guilt,informational,23,review-needed,false,0,0,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p024,Emotion Regulation,Understanding and Naming Your Emotions,interactive,24,review-needed,true,9,9,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p025,Emotion Regulation,Observing and Describing Emotions,interactive,25,review-needed,true,9,9,true,false,true,emotion-explorer,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p026,Emotion Regulation,The Tangled Ball of Emotions,informational,26,review-needed,false,0,0,true,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p027,Emotion Regulation,Where Do I Feel Emotions?,informational,27,review-needed,false,0,0,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p029,Emotion Regulation,Fact or Opinion?,interactive,29,review-needed,true,1,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p030,Emotion Regulation,"Fact, Opinion, Belief, and Prejudice",informational,30,review-needed,false,0,1,false,false,true,,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p031,Emotion Regulation,Changing Emotional Responses,informational,31,review-needed,false,0,6,false,true,false,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p032,Emotion Regulation,Check the Facts,informational,32,review-needed,false,0,5,true,true,true,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p033,Emotion Regulation,Examples of Emotions That Fit the Facts,informational,33,review-needed,false,0,3,true,true,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p034,Emotion Regulation,Check the Facts Practice,interactive,34,review-needed,true,7,7,false,false,true,change-emotion,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p036,Emotion Regulation,Choosing Problem Solving or Opposite Action,interactive,36,review-needed,true,1,1,false,false,true,change-emotion,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p037,Emotion Regulation,Opposite Action and Problem Solving,informational,37,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p038,Emotion Regulation,Opposite Action,informational,38,review-needed,false,0,3,true,true,true,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p039,Emotion Regulation,Problem Solving,informational,39,review-needed,false,0,3,false,true,true,,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p040,Emotion Regulation,"Reviewing Opposite Action and Problem Solving, Part 1",informational,40,review-needed,false,0,0,false,false,true,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p041,Emotion Regulation,"Reviewing Opposite Action and Problem Solving, Part 2",informational,41,review-needed,false,0,0,true,false,true,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p042,Emotion Regulation,"Reviewing Opposite Action and Problem Solving, Part 3",informational,42,review-needed,false,0,0,true,false,true,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section.
emotion-regulation-p043,Emotion Regulation,Opposite Action Elevator Example,informational,43,review-needed,false,0,3,false,true,true,change-emotion,Printed text OCR was normalized and structured from the page image; visual comparison is required before final acceptance.
emotion-regulation-p044,Emotion Regulation,Opposite Action for Fear,informational,44,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p045,Emotion Regulation,Opposite Action for Anger,informational,45,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p046,Emotion Regulation,Opposite Action for Disgust,informational,46,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p047,Emotion Regulation,Opposite Action for Envy,informational,47,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p048,Emotion Regulation,Opposite Action for Jealousy,informational,48,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p049,Emotion Regulation,Opposite Action for Love,informational,49,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p050,Emotion Regulation,Opposite Action for Sadness,informational,50,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p051,Emotion Regulation,Opposite Action for Shame,informational,51,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
emotion-regulation-p052,Emotion Regulation,Opposite Action for Guilt,informational,52,review-needed,false,0,8,false,true,false,change-emotion,Embedded searchable PDF text normalized and structured in QMD; repeated publication footer omitted. Visual structure still requires review unless integrated into an authored section. Native wording is integrated into existing stable lesson anchors.
