source_id,source_document,source_page,resource_title,resource_kind,curriculum_area,lesson_route,php_match_status,php_confidence,php_pdf_page,php_internal_id,top_candidate_page,second_best_page,match_score,second_best_score,uniqueness_margin,matched_orientation,match_evidence,high_res_asset,high_res_preview,match_id,match_source,publicly_displayed,review_state,notes
general-p002,0 general handouts and skills to turn to app.pdf,2,Skills & Strengths List,reference,General Skills,/tool-finder/index.html,high,high,143,php-p0143,143,20,0.959470,0.313770,0.645700,0,Orientation-aware visual score 0.9595; second-best physical page 20 scored 0.3138; uniqueness margin 0.6457. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0143.pdf,/resources/high-res/php/php-p0143.jpg,php-high-res:general-p002:php-p0143,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
distress-tolerance-p039,2 Distress Tolerance.pdf,39,Radical Acceptance Quick Reference,reference,Distress Tolerance,/learn/distress-tolerance/radical-acceptance.html,none,none,,,142,148,0.369324,0.352989,0.016335,270,Orientation-aware visual score 0.3693; second-best physical page 148 scored 0.3530; uniqueness margin 0.0163. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p043,2 Distress Tolerance.pdf,43,How to Solve a Problem,reference,Distress Tolerance,/learn/distress-tolerance/radical-acceptance.html,none,none,,,57,142,0.328419,0.316665,0.011754,0,Orientation-aware visual score 0.3284; second-best physical page 142 scored 0.3167; uniqueness margin 0.0118. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
distress-tolerance-p044,2 Distress Tolerance.pdf,44,Three Parts of Radical Acceptance,reference,Distress Tolerance,/learn/distress-tolerance/radical-acceptance.html,none,none,,,142,60,0.239662,0.228579,0.011084,90,Orientation-aware visual score 0.2397; second-best physical page 60 scored 0.2286; uniqueness margin 0.0111. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p003,4 Distress Tolerance.pdf,3,Understanding Boundaries,handout,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/boundaries.html,high,high,85,php-p0085,85,1,0.546998,0.293007,0.253991,0,Orientation-aware visual score 0.5470; second-best physical page 1 scored 0.2930; uniqueness margin 0.2540. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0085.pdf,/resources/high-res/php/php-p0085.jpg,php-high-res:interpersonal-effectiveness-p003:php-p0085,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
interpersonal-effectiveness-p004,4 Distress Tolerance.pdf,4,Identifying Your Boundaries,worksheet,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/boundaries.html,high,high,86,php-p0086,86,54,0.500428,0.302101,0.198328,0,Orientation-aware visual score 0.5004; second-best physical page 54 scored 0.3021; uniqueness margin 0.1983. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0086.pdf,/resources/high-res/php/php-p0086.jpg,php-high-res:interpersonal-effectiveness-p004:php-p0086,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
interpersonal-effectiveness-p005,4 Distress Tolerance.pdf,5,Characteristics of Healthy Relationships,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/boundaries.html,none,none,,,43,105,0.308656,0.237384,0.071272,0,Orientation-aware visual score 0.3087; second-best physical page 105 scored 0.2374; uniqueness margin 0.0713. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p006,4 Distress Tolerance.pdf,6,Identifying My Personal Boundaries,exercise,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/boundaries.html,none,none,,,76,42,0.250772,0.245743,0.005029,0,Orientation-aware visual score 0.2508; second-best physical page 42 scored 0.2457; uniqueness margin 0.0050. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p007,4 Distress Tolerance.pdf,7,Understanding My Boundaries,exercise,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/boundaries.html,none,none,,,105,94,0.205045,0.202836,0.002209,0,Orientation-aware visual score 0.2050; second-best physical page 94 scored 0.2028; uniqueness margin 0.0022. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p020,4 Distress Tolerance.pdf,20,DEAR MAN Script,worksheet,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/dear-man.html,none,none,,,73,3,0.392157,0.187355,0.204802,0,Orientation-aware visual score 0.3922; second-best physical page 3 scored 0.1874; uniqueness margin 0.2048. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p022,4 Distress Tolerance.pdf,22,Finding and Maintaining Relationships,exercise,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/give.html,none,none,,,90,15,0.189292,0.173341,0.015951,90,Orientation-aware visual score 0.1893; second-best physical page 15 scored 0.1733; uniqueness margin 0.0160. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p025,4 Distress Tolerance.pdf,25,A Few Words About Validation,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/give.html,high,high,77,php-p0077,77,124,0.457670,0.275267,0.182403,0,Orientation-aware visual score 0.4577; second-best physical page 124 scored 0.2753; uniqueness margin 0.1824. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0077.pdf,/resources/high-res/php/php-p0077.jpg,php-high-res:interpersonal-effectiveness-p025:php-p0077,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
interpersonal-effectiveness-p026,4 Distress Tolerance.pdf,26,Validation Expressions,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/give.html,none,none,,,99,80,0.230025,0.207629,0.022396,0,Orientation-aware visual score 0.2300; second-best physical page 80 scored 0.2076; uniqueness margin 0.0224. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p027,4 Distress Tolerance.pdf,27,The Four Horsemen and Their Antidotes,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/give.html,none,none,,,143,127,0.354439,0.291322,0.063117,0,Orientation-aware visual score 0.3544; second-best physical page 127 scored 0.2913; uniqueness margin 0.0631. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p028,4 Distress Tolerance.pdf,28,DEAR + GIVE Script,worksheet,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/give.html,none,none,,,90,59,0.216360,0.209108,0.007252,90,Orientation-aware visual score 0.2164; second-best physical page 59 scored 0.2091; uniqueness margin 0.0073. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p031,4 Distress Tolerance.pdf,31,Self-Respect Effectiveness Reflection,exercise,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/fast.html,none,none,,,3,108,0.517736,0.362542,0.155193,0,Orientation-aware visual score 0.5177; second-best physical page 108 scored 0.3625; uniqueness margin 0.1552. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p032,4 Distress Tolerance.pdf,32,A Bill of Assertive Rights,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/fast.html,none,none,,,105,75,0.299945,0.294610,0.005336,0,Orientation-aware visual score 0.2999; second-best physical page 75 scored 0.2946; uniqueness margin 0.0053. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p034,4 Distress Tolerance.pdf,34,Apologizing Effectively,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/fast.html,high,high,72,php-p0072,72,142,0.484502,0.336688,0.147814,0,Orientation-aware visual score 0.4845; second-best physical page 142 scored 0.3367; uniqueness margin 0.1478. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0072.pdf,/resources/high-res/php/php-p0072.jpg,php-high-res:interpersonal-effectiveness-p034:php-p0072,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
interpersonal-effectiveness-p035,4 Distress Tolerance.pdf,35,DEAR + FAST Script,worksheet,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/fast.html,high,high,73,php-p0073,73,40,0.293602,0.243478,0.050124,0,Orientation-aware visual score 0.2936; second-best physical page 40 scored 0.2435; uniqueness margin 0.0501. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0073.pdf,/resources/high-res/php/php-p0073.jpg,php-high-res:interpersonal-effectiveness-p035:php-p0073,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
interpersonal-effectiveness-p044,4 Distress Tolerance.pdf,44,Dialectics: Acceptance and Change,reference,Interpersonal Effectiveness,/learn/interpersonal-effectiveness/saying-no.html,none,none,,,107,34,0.299003,0.286095,0.012908,0,Orientation-aware visual score 0.2990; second-best physical page 34 scored 0.2861; uniqueness margin 0.0129. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p004,5 Wellness.pdf,4,Exploring Sleep,exercise,Wellness,/learn/wellness/sleep.html,high,high,70,php-p0070,70,8,0.508228,0.422207,0.086021,0,Orientation-aware visual score 0.5082; second-best physical page 8 scored 0.4222; uniqueness margin 0.0860. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0070.pdf,/resources/high-res/php/php-p0070.jpg,php-high-res:wellness-p004:php-p0070,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
wellness-p005,5 Wellness.pdf,5,Understanding Sleep,reference,Wellness,/learn/wellness/sleep.html,none,none,,,1,23,0.452684,0.417508,0.035176,180,Orientation-aware visual score 0.4527; second-best physical page 23 scored 0.4175; uniqueness margin 0.0352. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p006,5 Wellness.pdf,6,The Five Stages of Sleep,reference,Wellness,/learn/wellness/sleep.html,none,none,,,146,142,0.591430,0.550721,0.040709,90,Orientation-aware visual score 0.5914; second-best physical page 142 scored 0.5507; uniqueness margin 0.0407. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p007,5 Wellness.pdf,7,Additional Sleep Hygiene Tips,handout,Wellness,/learn/wellness/sleep.html,none,none,,,91,54,0.227908,0.221639,0.006268,90,Orientation-aware visual score 0.2279; second-best physical page 54 scored 0.2216; uniqueness margin 0.0063. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p010,5 Wellness.pdf,10,The First Vicious Cycle,reference,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,14,80,0.193748,0.186994,0.006754,90,Orientation-aware visual score 0.1937; second-best physical page 80 scored 0.1870; uniqueness margin 0.0068. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p011,5 Wellness.pdf,11,The Second Vicious Cycle,reference,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,65,116,0.233264,0.158722,0.074542,0,Orientation-aware visual score 0.2333; second-best physical page 116 scored 0.1587; uniqueness margin 0.0745. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p012,5 Wellness.pdf,12,Your Cycles,worksheet,Wellness,/learn/wellness/behavioral-activation.html,high,high,65,php-p0065,65,91,0.457476,0.145243,0.312234,0,Orientation-aware visual score 0.4575; second-best physical page 91 scored 0.1452; uniqueness margin 0.3122. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0065.pdf,/resources/high-res/php/php-p0065.jpg,php-high-res:wellness-p012:php-p0065,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
wellness-p013,5 Wellness.pdf,13,The Upward Spiral of Behavioural Activation,handout,Wellness,/learn/wellness/behavioral-activation.html,high,high,66,php-p0066,66,23,0.479059,0.378223,0.100836,0,Orientation-aware visual score 0.4791; second-best physical page 23 scored 0.3782; uniqueness margin 0.1008. Manual audit confirmed the same printed title/content and distinctive layout.,/resources/high-res/php/php-p0066.pdf,/resources/high-res/php/php-p0066.jpg,php-high-res:wellness-p013:php-p0066,php-high-res,true,pending,Higher-resolution comparison is displayed below the current copy.
wellness-p014,5 Wellness.pdf,14,What Is Behaviour Activation?,handout,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,146,39,0.410105,0.377619,0.032485,180,Orientation-aware visual score 0.4101; second-best physical page 39 scored 0.3776; uniqueness margin 0.0325. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p015,5 Wellness.pdf,15,Behaviour Activation: Battery vs. Generator,handout,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,142,146,0.499660,0.452902,0.046759,90,Orientation-aware visual score 0.4997; second-best physical page 146 scored 0.4529; uniqueness margin 0.0468. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p016,5 Wellness.pdf,16,"Behavioural Activation Tips, Part 1",handout,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,146,115,0.240004,0.228468,0.011536,180,Orientation-aware visual score 0.2400; second-best physical page 115 scored 0.2285; uniqueness margin 0.0115. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p017,5 Wellness.pdf,17,"Behavioural Activation Tips, Part 2",handout,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,142,146,0.288480,0.282925,0.005555,90,Orientation-aware visual score 0.2885; second-best physical page 146 scored 0.2829; uniqueness margin 0.0056. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p018,5 Wellness.pdf,18,"Behavioural Activation Tips, Part 3",handout,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,3,4,0.339836,0.299694,0.040142,0,Orientation-aware visual score 0.3398; second-best physical page 4 scored 0.2997; uniqueness margin 0.0401. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
wellness-p019,5 Wellness.pdf,19,Activity Monitoring Worksheet,worksheet,Wellness,/learn/wellness/behavioral-activation.html,none,none,,,1,108,0.255324,0.237011,0.018312,0,Orientation-aware visual score 0.2553; second-best physical page 108 scored 0.2370; uniqueness margin 0.0183. No sufficiently distinct same-page visual counterpart.,,,,,false,unmatched,Current curriculum resource remains the only public copy.
