source_id,source_document,source_page,resource_title,resource_kind,match_status,confidence,book_pdf_page,book_printed_page,book_module,book_handout_or_worksheet_number,book_title,match_evidence,clean_asset,match_id,match_source,publicly_displayed,review_state,review_needed,notes
distress-tolerance-p012,2 Distress Tolerance.pdf,12,Changing Your Body Chemistry with TIPP,handout,matched,high,353,329,Distress Tolerance,Handout 6,TIP Skills: Changing Your Body Chemistry,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-6-tip-skills-changing-your-body-chemistry-clean.pdf,linehan-book:distress-tolerance-p012,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p013,2 Distress Tolerance.pdf,13,"Using Cold Water, Step by Step",handout,matched,high,354,330,Distress Tolerance,Handout 6a,"Using Cold Water, Step by Step",Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-6a-using-cold-water-step-by-step-clean.pdf,linehan-book:distress-tolerance-p013,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p014,2 Distress Tolerance.pdf,14,"Paired Muscle Relaxation, Step by Step",handout,matched,high,355,331,Distress Tolerance,Handout 6b,"Paired Muscle Relaxation, Step by Step",Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-6b-paired-muscle-relaxation-step-by-step-clean.pdf,linehan-book:distress-tolerance-p014,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p015,2 Distress Tolerance.pdf,15,Progressive Muscle Relaxation: Nose to Toes,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p016,2 Distress Tolerance.pdf,16,Changing Body Chemistry with TIPP Skills,worksheet,matched,high,400,376,Distress Tolerance,Worksheet 4,Changing Body Chemistry with TIP Skills,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-worksheet-4-changing-body-chemistry-with-tip-skills-clean.pdf,linehan-book:distress-tolerance-p016,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p018,2 Distress Tolerance.pdf,18,Distracting with Wise Mind ACCEPTS,handout,matched,high,357,333,Distress Tolerance,Handout 7,Distracting,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-7-distracting-clean.pdf,linehan-book:distress-tolerance-p018,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p019,2 Distress Tolerance.pdf,19,Wise Mind ACCEPTS Overview,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p020,2 Distress Tolerance.pdf,20,Self-Soothing,handout,matched,high,358,334,Distress Tolerance,Handout 8,Self-Soothing,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-8-self-soothing-clean.pdf,linehan-book:distress-tolerance-p020,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p021,2 Distress Tolerance.pdf,21,Self-Soothing Practice,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p022,2 Distress Tolerance.pdf,22,Distracting with Wise Mind ACCEPTS,worksheet,matched,high,405,381,Distress Tolerance,Worksheet 5b,Distracting with Wise Mind ACCEPTS,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-worksheet-5b-distracting-with-wise-mind-accepts-clean.pdf,linehan-book:distress-tolerance-p022,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p023,2 Distress Tolerance.pdf,23,Creating a Self-Soothing Kit,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p025,2 Distress Tolerance.pdf,25,Improving the Moment,handout,matched,high,360,336,Distress Tolerance,Handout 9,Improving the Moment,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-9-improving-the-moment-clean.pdf,linehan-book:distress-tolerance-p025,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p026,2 Distress Tolerance.pdf,26,One Thing in the Moment,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p027,2 Distress Tolerance.pdf,27,Peaceful Place Meditation,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p028,2 Distress Tolerance.pdf,28,IMPROVE Practice,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p030,2 Distress Tolerance.pdf,30,Pros and Cons,handout,matched,high,352,328,Distress Tolerance,Handout 5,Pros and Cons,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-5-pros-and-cons-clean.pdf,linehan-book:distress-tolerance-p030,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p031,2 Distress Tolerance.pdf,31,Pros and Cons: How To,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p032,2 Distress Tolerance.pdf,32,Pros and Cons of Acting on Crisis Urges,worksheet,matched,high,398,374,Distress Tolerance,Worksheet 3,Pros and Cons of Acting on Crisis Urges,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-worksheet-3-pros-and-cons-of-acting-on-crisis-urges-clean.pdf,linehan-book:distress-tolerance-p032,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p033,2 Distress Tolerance.pdf,33,Pros and Cons Practice,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p035,2 Distress Tolerance.pdf,35,Dandelions,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p036,2 Distress Tolerance.pdf,36,Developing the Skill of Radical Acceptance,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p037,2 Distress Tolerance.pdf,37,Radical Acceptance,handout,matched,high,366,342,Distress Tolerance,Handout 11,Radical Acceptance,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-11-radical-acceptance-clean.pdf,linehan-book:distress-tolerance-p037,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p038,2 Distress Tolerance.pdf,38,Radical Acceptance: Factors That Interfere,handout,matched,high,367,343,Distress Tolerance,Handout 11a,Radical Acceptance: Factors That Interfere,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-11a-radical-acceptance-factors-that-interfere-clean.pdf,linehan-book:distress-tolerance-p038,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p039,2 Distress Tolerance.pdf,39,Radical Acceptance Quick Reference,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p040,2 Distress Tolerance.pdf,40,Practicing Radical Acceptance Step by Step,handout,matched,high,368,344,Distress Tolerance,Handout 11b,Practicing Radical Acceptance Step by Step,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-11b-practicing-radical-acceptance-step-by-step-clean.pdf,linehan-book:distress-tolerance-p040,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p041,2 Distress Tolerance.pdf,41,Half-Smiling and Willing Hands,handout,matched,high,371,347,Distress Tolerance,Handout 14,Half-Smiling and Willing Hands,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-14-half-smiling-and-willing-hands-clean.pdf,linehan-book:distress-tolerance-p041,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p043,2 Distress Tolerance.pdf,43,How to Solve a Problem,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p044,2 Distress Tolerance.pdf,44,Three Parts of Radical Acceptance,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
distress-tolerance-p046,2 Distress Tolerance.pdf,46,Radical Acceptance Practice,worksheet,matched,high,418,394,Distress Tolerance,Worksheet 9,Radical Acceptance,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-worksheet-9-radical-acceptance-clean.pdf,linehan-book:distress-tolerance-p046,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p047,2 Distress Tolerance.pdf,47,"Practicing Half-Smiling and Willing Hands, Part 1",handout,matched,high,372,348,Distress Tolerance,Handout 14a,Practicing Half-Smiling and Willing Hands (1 of 2),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-14a-practicing-half-smiling-and-willing-hands-1-of-2-clean.pdf,linehan-book:distress-tolerance-p047,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
distress-tolerance-p048,2 Distress Tolerance.pdf,48,"Practicing Half-Smiling and Willing Hands, Part 2",handout,matched,high,373,349,Distress Tolerance,Handout 14a,Practicing Half-Smiling and Willing Hands (2 of 2),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/distress-tolerance/distress-tolerance-handout-14a-practicing-half-smiling-and-willing-hands-2-of-2-clean.pdf,linehan-book:distress-tolerance-p048,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p003,4 Distress Tolerance.pdf,3,Understanding Boundaries,handout,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p004,4 Distress Tolerance.pdf,4,Identifying Your Boundaries,worksheet,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p005,4 Distress Tolerance.pdf,5,Characteristics of Healthy Relationships,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p006,4 Distress Tolerance.pdf,6,Identifying My Personal Boundaries,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p007,4 Distress Tolerance.pdf,7,Understanding My Boundaries,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p009,4 Distress Tolerance.pdf,9,Factors in the Way of Interpersonal Effectiveness,handout,matched,high,142,118,Interpersonal Effectiveness,Handout 2,Factors in the Way of Interpersonal Effectiveness,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-2-factors-in-the-way-of-interpersonal-effectiveness-clean.pdf,linehan-book:interpersonal-effectiveness-p009,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p010,4 Distress Tolerance.pdf,10,Myths in the Way of Interpersonal Effectiveness,handout,matched,high,143,119,Interpersonal Effectiveness,Handout 2a,Myths in the Way of Interpersonal Effectiveness,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-2a-myths-in-the-way-of-interpersonal-effectiveness-clean.pdf,linehan-book:interpersonal-effectiveness-p010,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p011,4 Distress Tolerance.pdf,11,Challenging Myths: Objectives Effectiveness,worksheet,matched,high,192,168,Interpersonal Effectiveness,Worksheet 2,Challenging Myths in the Way of Obtaining Objectives,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-worksheet-2-challenging-myths-in-the-way-of-obtaining-objectives-clean.pdf,linehan-book:interpersonal-effectiveness-p011,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p012,4 Distress Tolerance.pdf,12,Challenging Myths: Relationship and Self-Respect,worksheet,matched,high,193,169,Interpersonal Effectiveness,Worksheet 2,Challenging Myths in the Way of Relationship and Self-Respect Effectiveness,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-worksheet-2-challenging-myths-in-the-way-of-relationship-and-self-respect-effectiveness-clean.pdf,linehan-book:interpersonal-effectiveness-p012,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p013,4 Distress Tolerance.pdf,13,Obtaining Objectives Skillfully,handout,matched,high,147,123,Interpersonal Effectiveness,Handout 3,Overview: Obtaining Objectives Skillfully,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-3-overview-obtaining-objectives-skillfully-clean.pdf,linehan-book:interpersonal-effectiveness-p013,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p014,4 Distress Tolerance.pdf,14,Clarifying Goals in Interpersonal Situations,handout,matched,high,148,124,Interpersonal Effectiveness,Handout 4,Clarifying Goals in Interpersonal Situations,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-4-clarifying-goals-in-interpersonal-situations-clean.pdf,linehan-book:interpersonal-effectiveness-p014,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p015,4 Distress Tolerance.pdf,15,Clarifying Priorities in Interpersonal Situations,worksheet,matched,high,197,173,Interpersonal Effectiveness,Worksheet 3,Clarifying Priorities in Interpersonal Situations,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-worksheet-3-clarifying-priorities-in-interpersonal-situations-clean.pdf,linehan-book:interpersonal-effectiveness-p015,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p017,4 Distress Tolerance.pdf,17,"Guidelines for Objectives Effectiveness: DEAR MAN, Part 1",handout,matched,high,149,125,Interpersonal Effectiveness,Handout 5,Guidelines for Objectives Effectiveness: DEAR MAN (1 of 2),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-5-guidelines-for-objectives-effectiveness-dear-man-1-of-2-clean.pdf,linehan-book:interpersonal-effectiveness-p017,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p018,4 Distress Tolerance.pdf,18,"Guidelines for Objectives Effectiveness: DEAR MAN, Part 2",handout,matched,high,150,126,Interpersonal Effectiveness,Handout 5,Guidelines for Objectives Effectiveness: DEAR MAN (2 of 2),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-5-guidelines-for-objectives-effectiveness-dear-man-2-of-2-clean.pdf,linehan-book:interpersonal-effectiveness-p018,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p019,4 Distress Tolerance.pdf,19,Applying DEAR MAN Skills to a Difficult Interaction,handout,matched,high,151,127,Interpersonal Effectiveness,Handout 5a,Applying DEAR MAN Skills to a Difficult Current Interaction,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-5a-applying-dear-man-skills-to-a-difficult-current-interaction-clean.pdf,linehan-book:interpersonal-effectiveness-p019,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p020,4 Distress Tolerance.pdf,20,DEAR MAN Script,worksheet,candidate,candidate,198,174,Interpersonal Effectiveness,Worksheet 4,Writing Out Interpersonal Effectiveness Scripts,"Conceptually related page found, but printed title or page sequence is not an exact one-to-one match.",,,,false,possible,true,Review needed; candidate is not published.
interpersonal-effectiveness-p022,4 Distress Tolerance.pdf,22,Finding and Maintaining Relationships,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p023,4 Distress Tolerance.pdf,23,Guidelines for Relationship Effectiveness: GIVE,handout,matched,high,152,128,Interpersonal Effectiveness,Handout 6,Guidelines for Relationship Effectiveness: GIVE,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-6-guidelines-for-relationship-effectiveness-give-clean.pdf,linehan-book:interpersonal-effectiveness-p023,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p024,4 Distress Tolerance.pdf,24,Levels of Validation,handout,matched,high,153,129,Interpersonal Effectiveness,Handout 6a,Expanding the V in GIVE: Levels of Validation,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-6a-expanding-the-v-in-give-levels-of-validation-clean.pdf,linehan-book:interpersonal-effectiveness-p024,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p025,4 Distress Tolerance.pdf,25,A Few Words About Validation,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p026,4 Distress Tolerance.pdf,26,Validation Expressions,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p027,4 Distress Tolerance.pdf,27,The Four Horsemen and Their Antidotes,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p028,4 Distress Tolerance.pdf,28,DEAR + GIVE Script,worksheet,candidate,candidate,198,174,Interpersonal Effectiveness,Worksheet 4,Writing Out Interpersonal Effectiveness Scripts,"Conceptually related page found, but printed title or page sequence is not an exact one-to-one match.",,,,false,possible,true,Review needed; candidate is not published.
interpersonal-effectiveness-p031,4 Distress Tolerance.pdf,31,Self-Respect Effectiveness Reflection,exercise,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p032,4 Distress Tolerance.pdf,32,A Bill of Assertive Rights,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p033,4 Distress Tolerance.pdf,33,Guidelines for Self-Respect Effectiveness: FAST,handout,matched,high,154,130,Interpersonal Effectiveness,Handout 7,Guidelines for Self-Respect Effectiveness: FAST,Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-7-guidelines-for-self-respect-effectiveness-fast-clean.pdf,linehan-book:interpersonal-effectiveness-p033,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p034,4 Distress Tolerance.pdf,34,Apologizing Effectively,reference,none,none,,,,,,No exact printed identifier/title match verified.,,,,false,unmatched,false,Current curriculum resource remains the only public copy.
interpersonal-effectiveness-p035,4 Distress Tolerance.pdf,35,DEAR + FAST Script,worksheet,candidate,candidate,198,174,Interpersonal Effectiveness,Worksheet 4,Writing Out Interpersonal Effectiveness Scripts,"Conceptually related page found, but printed title or page sequence is not an exact one-to-one match.",,,,false,possible,true,Review needed; candidate is not published.
interpersonal-effectiveness-p037,4 Distress Tolerance.pdf,37,"How Intensely to Ask or Say No, Part 1",handout,matched,high,155,131,Interpersonal Effectiveness,Handout 8,Evaluating Options for Whether or How Intensely to Ask or Say No (1 of 3),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-8-evaluating-options-for-whether-or-how-intensely-to-ask-or-say-no-1-of-3-clean.pdf,linehan-book:interpersonal-effectiveness-p037,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p038,4 Distress Tolerance.pdf,38,"How Intensely to Ask or Say No, Part 2",handout,matched,high,156,132,Interpersonal Effectiveness,Handout 8,Factors to Consider (2 of 3),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-8-factors-to-consider-2-of-3-clean.pdf,linehan-book:interpersonal-effectiveness-p038,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
interpersonal-effectiveness-p039,4 Distress Tolerance.pdf,39,"How Intensely to Ask or Say No, Part 3",handout,matched,high,157,133,Interpersonal Effectiveness,Handout 8,Factors to Consider (3 of 3),Printed identifier and title agree; content visually verified against the reference-book PDF.,/resources/clean/interpersonal-effectiveness/interpersonal-effectiveness-handout-8-factors-to-consider-3-of-3-clean.pdf,linehan-book:interpersonal-effectiveness-p039,linehan-book,true,pending,false,High-confidence clean copy is displayed below the selected curriculum handout.
